krzyzowanie;mutacja;osobniki;pokolenia;skalowanie;elitaryzm
0.3;0.07;50;600;0;0
0.3;0.07;50;3000;0;0
0.3;0.07;50;9000;0;0
0.3;0.07;50;36000;0;0
0.3;0.07;100;600;0;0
0.3;0.07;100;3000;0;0
0.3;0.07;100;9000;0;0
0.3;0.07;100;36000;0;0
0.3;0.07;250;600;0;0
0.3;0.07;250;3000;0;0
0.3;0.07;250;9000;0;0
0.3;0.07;250;36000;0;0
0.3;0.3;50;600;0;0
0.3;0.3;50;3000;0;0
0.3;0.3;50;9000;0;0
0.3;0.3;50;36000;0;0
0.3;0.3;100;600;0;0
0.3;0.3;100;3000;0;0
0.3;0.3;100;9000;0;0
0.3;0.3;100;36000;0;0
0.3;0.3;250;600;0;0
0.3;0.3;250;3000;0;0
0.3;0.3;250;9000;0;0
0.3;0.3;250;36000;0;0
0.5;0.07;50;600;0;0
0.5;0.07;50;3000;0;0
0.5;0.07;50;9000;0;0
0.5;0.07;50;36000;0;0
0.5;0.07;100;600;0;0
0.5;0.07;100;3000;0;0
0.5;0.07;100;9000;0;0
0.5;0.07;100;36000;0;0
0.5;0.07;250;600;0;0
0.5;0.07;250;3000;0;0
0.5;0.07;250;9000;0;0
0.5;0.07;250;36000;0;0
0.5;0.3;50;600;0;0
0.5;0.3;50;3000;0;0
0.5;0.3;50;9000;0;0
0.5;0.3;50;36000;0;0
0.5;0.3;100;600;0;0
0.5;0.3;100;3000;0;0
0.5;0.3;100;9000;0;0
0.5;0.3;100;36000;0;0
0.5;0.3;250;600;0;0
0.5;0.3;250;3000;0;0
0.5;0.3;250;9000;0;0
0.5;0.3;250;36000;0;0
0.7;0.07;50;600;0;0
0.7;0.07;50;3000;0;0
0.7;0.07;50;9000;0;0
0.7;0.07;50;36000;0;0
0.7;0.07;100;600;0;0
0.7;0.07;100;3000;0;0
0.7;0.07;100;9000;0;0
0.7;0.07;100;36000;0;0
0.7;0.07;250;600;0;0
0.7;0.07;250;3000;0;0
0.7;0.07;250;9000;0;0
0.7;0.07;250;36000;0;0
0.7;0.3;50;600;0;0
0.7;0.3;50;3000;0;0
0.7;0.3;50;9000;0;0
0.7;0.3;50;36000;0;0
0.7;0.3;100;600;0;0
0.7;0.3;100;3000;0;0
0.7;0.3;100;9000;0;0
0.7;0.3;100;36000;0;0
0.7;0.3;250;600;0;0
0.7;0.3;250;3000;0;0
0.7;0.3;250;9000;0;0
0.7;0.3;250;36000;0;0
0.3;0.07;50;600;1;0
0.3;0.07;50;3000;1;0
0.3;0.07;50;9000;1;0
0.3;0.07;50;36000;1;0
0.3;0.07;100;600;1;0
0.3;0.07;100;3000;1;0
0.3;0.07;100;9000;1;0
0.3;0.07;100;36000;1;0
0.3;0.07;250;600;1;0
0.3;0.07;250;3000;1;0
0.3;0.07;250;9000;1;0
0.3;0.07;250;36000;1;0
0.3;0.3;50;600;1;0
0.3;0.3;50;3000;1;0
0.3;0.3;50;9000;1;0
0.3;0.3;50;36000;1;0
0.3;0.3;100;600;1;0
0.3;0.3;100;3000;1;0
0.3;0.3;100;9000;1;0
0.3;0.3;100;36000;1;0
0.3;0.3;250;600;1;0
0.3;0.3;250;3000;1;0
0.3;0.3;250;9000;1;0
0.3;0.3;250;36000;1;0
0.5;0.07;50;600;1;0
0.5;0.07;50;3000;1;0
0.5;0.07;50;9000;1;0
0.5;0.07;50;36000;1;0
0.5;0.07;100;600;1;0
0.5;0.07;100;3000;1;0
0.5;0.07;100;9000;1;0
0.5;0.07;100;36000;1;0
0.5;0.07;250;600;1;0
0.5;0.07;250;3000;1;0
0.5;0.07;250;9000;1;0
0.5;0.07;250;36000;1;0
0.5;0.3;50;600;1;0
0.5;0.3;50;3000;1;0
0.5;0.3;50;9000;1;0
0.5;0.3;50;36000;1;0
0.5;0.3;100;600;1;0
0.5;0.3;100;3000;1;0
0.5;0.3;100;9000;1;0
0.5;0.3;100;36000;1;0
0.5;0.3;250;600;1;0
0.5;0.3;250;3000;1;0
0.5;0.3;250;9000;1;0
0.5;0.3;250;36000;1;0
0.7;0.07;50;600;1;0
0.7;0.07;50;3000;1;0
0.7;0.07;50;9000;1;0
0.7;0.07;50;36000;1;0
0.7;0.07;100;600;1;0
0.7;0.07;100;3000;1;0
0.7;0.07;100;9000;1;0
0.7;0.07;100;36000;1;0
0.7;0.07;250;600;1;0
0.7;0.07;250;3000;1;0
0.7;0.07;250;9000;1;0
0.7;0.07;250;36000;1;0
0.7;0.3;50;600;1;0
0.7;0.3;50;3000;1;0
0.7;0.3;50;9000;1;0
0.7;0.3;50;36000;1;0
0.7;0.3;100;600;1;0
0.7;0.3;100;3000;1;0
0.7;0.3;100;9000;1;0
0.7;0.3;100;36000;1;0
0.7;0.3;250;600;1;0
0.7;0.3;250;3000;1;0
0.7;0.3;250;9000;1;0
0.7;0.3;250;36000;1;0
0.3;0.07;50;600;0;1
0.3;0.07;50;3000;0;1
0.3;0.07;50;9000;0;1
0.3;0.07;50;36000;0;1
0.3;0.07;100;600;0;1
0.3;0.07;100;3000;0;1
0.3;0.07;100;9000;0;1
0.3;0.07;100;36000;0;1
0.3;0.07;250;600;0;1
0.3;0.07;250;3000;0;1
0.3;0.07;250;9000;0;1
0.3;0.07;250;36000;0;1
0.3;0.3;50;600;0;1
0.3;0.3;50;3000;0;1
0.3;0.3;50;9000;0;1
0.3;0.3;50;36000;0;1
0.3;0.3;100;600;0;1
0.3;0.3;100;3000;0;1
0.3;0.3;100;9000;0;1
0.3;0.3;100;36000;0;1
0.3;0.3;250;600;0;1
0.3;0.3;250;3000;0;1
0.3;0.3;250;9000;0;1
0.3;0.3;250;36000;0;1
0.5;0.07;50;600;0;1
0.5;0.07;50;3000;0;1
0.5;0.07;50;9000;0;1
0.5;0.07;50;36000;0;1
0.5;0.07;100;600;0;1
0.5;0.07;100;3000;0;1
0.5;0.07;100;9000;0;1
0.5;0.07;100;36000;0;1
0.5;0.07;250;600;0;1
0.5;0.07;250;3000;0;1
0.5;0.07;250;9000;0;1
0.5;0.07;250;36000;0;1
0.5;0.3;50;600;0;1
0.5;0.3;50;3000;0;1
0.5;0.3;50;9000;0;1
0.5;0.3;50;36000;0;1
0.5;0.3;100;600;0;1
0.5;0.3;100;3000;0;1
0.5;0.3;100;9000;0;1
0.5;0.3;100;36000;0;1
0.5;0.3;250;600;0;1
0.5;0.3;250;3000;0;1
0.5;0.3;250;9000;0;1
0.5;0.3;250;36000;0;1
0.7;0.07;50;600;0;1
0.7;0.07;50;3000;0;1
0.7;0.07;50;9000;0;1
0.7;0.07;50;36000;0;1
0.7;0.07;100;600;0;1
0.7;0.07;100;3000;0;1
0.7;0.07;100;9000;0;1
0.7;0.07;100;36000;0;1
0.7;0.07;250;600;0;1
0.7;0.07;250;3000;0;1
0.7;0.07;250;9000;0;1
0.7;0.07;250;36000;0;1
0.7;0.3;50;600;0;1
0.7;0.3;50;3000;0;1
0.7;0.3;50;9000;0;1
0.7;0.3;50;36000;0;1
0.7;0.3;100;600;0;1
0.7;0.3;100;3000;0;1
0.7;0.3;100;9000;0;1
0.7;0.3;100;36000;0;1
0.7;0.3;250;600;0;1
0.7;0.3;250;3000;0;1
0.7;0.3;250;9000;0;1
0.7;0.3;250;36000;0;1
0.3;0.07;50;600;1;1
0.3;0.07;50;3000;1;1
0.3;0.07;50;9000;1;1
0.3;0.07;50;36000;1;1
0.3;0.07;100;600;1;1
0.3;0.07;100;3000;1;1
0.3;0.07;100;9000;1;1
0.3;0.07;100;36000;1;1
0.3;0.07;250;600;1;1
0.3;0.07;250;3000;1;1
0.3;0.07;250;9000;1;1
0.3;0.07;250;36000;1;1
0.3;0.3;50;600;1;1
0.3;0.3;50;3000;1;1
0.3;0.3;50;9000;1;1
0.3;0.3;50;36000;1;1
0.3;0.3;100;600;1;1
0.3;0.3;100;3000;1;1
0.3;0.3;100;9000;1;1
0.3;0.3;100;36000;1;1
0.3;0.3;250;600;1;1
0.3;0.3;250;3000;1;1
0.3;0.3;250;9000;1;1
0.3;0.3;250;36000;1;1
0.5;0.07;50;600;1;1
0.5;0.07;50;3000;1;1
0.5;0.07;50;9000;1;1
0.5;0.07;50;36000;1;1
0.5;0.07;100;600;1;1
0.5;0.07;100;3000;1;1
0.5;0.07;100;9000;1;1
0.5;0.07;100;36000;1;1
0.5;0.07;250;600;1;1
0.5;0.07;250;3000;1;1
0.5;0.07;250;9000;1;1
0.5;0.07;250;36000;1;1
0.5;0.3;50;600;1;1
0.5;0.3;50;3000;1;1
0.5;0.3;50;9000;1;1
0.5;0.3;50;36000;1;1
0.5;0.3;100;600;1;1
0.5;0.3;100;3000;1;1
0.5;0.3;100;9000;1;1
0.5;0.3;100;36000;1;1
0.5;0.3;250;600;1;1
0.5;0.3;250;3000;1;1
0.5;0.3;250;9000;1;1
0.5;0.3;250;36000;1;1
0.7;0.07;50;600;1;1
0.7;0.07;50;3000;1;1
0.7;0.07;50;9000;1;1
0.7;0.07;50;36000;1;1
0.7;0.07;100;600;1;1
0.7;0.07;100;3000;1;1
0.7;0.07;100;9000;1;1
0.7;0.07;100;36000;1;1
0.7;0.07;250;600;1;1
0.7;0.07;250;3000;1;1
0.7;0.07;250;9000;1;1
0.7;0.07;250;36000;1;1
0.7;0.3;50;600;1;1
0.7;0.3;50;3000;1;1
0.7;0.3;50;9000;1;1
0.7;0.3;50;36000;1;1
0.7;0.3;100;600;1;1
0.7;0.3;100;3000;1;1
0.7;0.3;100;9000;1;1
0.7;0.3;100;36000;1;1
0.7;0.3;250;600;1;1
0.7;0.3;250;3000;1;1
0.7;0.3;250;9000;1;1
0.7;0.3;250;36000;1;1
